,District name,2021-2022 attendance rate - year to date,2020-2021 attendance rate,2019-2020 attendance rate
1561,Regional School District 06,0.9244,0.9502,0.9482
1570,Regional School District 07,0.9313,0.965,0.9485
1579,Regional School District 08,0.9456,0.9551,0.9587
1588,Regional School District 09,0.9302,0.9522,0.9527
1595,Regional School District 10,0.9462,0.9504,0.9575
1605,Regional School District 11,0.9104,0.9313,0.9501
1611,Regional School District 12,0.9324,0.9397,0.9446
1620,Regional School District 13,0.9384,0.958,0.9559
1629,Regional School District 14,0.9496,0.9712,0.9509
1639,Regional School District 15,0.9296,0.9722,0.9562
1651,Regional School District 16,0.9521,0.9606,0.9614
1663,Regional School District 17,0.9417,0.9487,0.967
1672,Regional School District 18,0.938,0.9609,0.9545
1682,Regional School District 19,0.9314,0.9704,0.9621
1693,Goodwin University Educational Services (GUES),0.8818,,
1705,Capitol Region Education Council,0.8912,0.9086,0.9305
1718,EdAdvance,0.7785,0.7729,0.8696
1724,Cooperative Educational Services,0.9004,0.9083,0.9307
1736,Area Cooperative Educational Services,0.85,0.7996,0.9216
1748,Learn,0.9085,0.894,0.9428
1760,Eastern Connecticut Regional Educational Service Center (EASTCONN),0.8273,0.8082,0.9082
1767,Jumoke Academy District,0.9087,0.936,0.9401
1774,Odyssey Community School District,0.9353,0.9599,0.9525
1786,Integrated Day Charter School District,0.9341,0.9537,0.9602
1798,Interdistrict School for Arts and Comm District,0.927,0.9592,0.9512
1808,Common Ground High School District,0.8321,0.7854,0.9365
1816,The Bridge Academy District,0.9387,0.9343,0.9414
1825,Side By Side Charter School District,0.9459,0.9366,0.9635
1835,Explorations District,0.8612,0.8743,0.9085
1842,Amistad Academy District,0.8832,0.9373,0.9581
1852,New Beginnings Inc Family Academy District,0.9102,0.8044,0.9468
1860,Park City Prep Charter School District,0.9393,0.9239,0.959
1870,Achievement First Bridgeport Academy District,0.8728,0.9413,0.9598
1880,Highville Charter School District,0.8807,0.9455,0.9476
1889,Achievement First Hartford Academy District,0.8827,0.9051,0.9589
1899,Elm City College Preparatory School District,0.8675,0.9354,0.9562
1909,Brass City Charter School District,0.9187,0.9184,0.9478
1918,Elm City Montessori School District,0.942,0.9309,0.9605
1926,Great Oaks Charter School District,0.9118,0.9653,0.9456
1936,Booker T. Washington Academy District,0.9146,0.8598,0.942
1946,Stamford Charter School for Excellence District,0.9308,0.9739,0.9622
1956,Capital Preparatory Harbor School District,0.9102,0.9399,0.9632
1966,Unified School District #1,0.9564,0.9482,0.9488
1972,Unified School District #2,0.9202,0.9602,0.9564
1977,Connecticut Technical Education and Career System,0.8985,0.9321,0.948
1990,Norwich Free Academy District,0.894,0.9,0.9319
2002,The Gilbert School District,0.8901,0.9458,0.9394
2011,The Woodstock Academy District,0.9288,0.9589,0.9471
